fecha,producto,region,canal,promocion,precio,inventario_inicial,ventas_unidades,reabastecimiento,inventario_final,lead_time_dias
2024-01-30,Café Premium,Occidente,Tienda,0,145.0,1866,89,0,1777,7
2024-01-31,Café Premium,Sur,Tienda,0,145.0,1777,90,0,1687,7
2024-02-01,Café Premium,Centro,Tienda,0,145.0,1687,79,0,1608,7
2024-02-02,Café Premium,Sur,Tienda,0,145.0,1608,90,0,1518,7
2024-02-03,Café Premium,Centro,Ecommerce,0,145.0,1518,105,0,1413,7
2024-02-04,Café Premium,Norte,Tienda,0,145.0,1413,107,0,1306,7
2024-02-05,Café Premium,Sur,Ecommerce,1,134.85,1306,123,0,1183,7
2024-02-06,Café Premium,Norte,Tienda,1,134.85,1183,98,2788,3873,7
2024-02-07,Café Premium,Sur,Distribuidor,1,134.85,3873,105,0,3768,7
2024-02-08,Café Premium,Sur,Tienda,0,145.0,3768,86,0,3682,7
2024-02-09,Café Premium,Sur,Distribuidor,0,145.0,3682,102,0,3580,7
2024-02-10,Café Premium,Sur,Tienda,0,145.0,3580,111,0,3469,7
2024-02-11,Café Premium,Norte,Ecommerce,0,145.0,3469,111,0,3358,7
2024-02-12,Café Premium,Occidente,Tienda,0,145.0,3358,91,0,3267,7
2024-02-13,Café Premium,Sur,Distribuidor,0,145.0,3267,83,0,3184,7
2024-02-14,Café Premium,Occidente,Tienda,0,145.0,3184,79,0,3105,7
2024-02-15,Café Premium,Centro,Ecommerce,0,145.0,3105,100,0,3005,7
2024-02-16,Café Premium,Sur,Ecommerce,0,145.0,3005,74,0,2931,7
2024-02-17,Café Premium,Norte,Tienda,0,145.0,2931,101,0,2830,7
2024-02-18,Café Premium,Norte,Ecommerce,0,145.0,2830,112,0,2718,7
2024-02-19,Café Premium,Occidente,Ecommerce,0,145.0,2718,102,0,2616,7
2024-02-20,Café Premium,Norte,Ecommerce,1,134.85,2616,110,0,2506,7
2024-02-21,Café Premium,Sur,Ecommerce,1,134.85,2506,109,0,2397,7
2024-02-22,Café Premium,Sur,Distribuidor,0,145.0,2397,89,0,2308,7
2024-02-23,Café Premium,Occidente,Tienda,0,145.0,2308,96,0,2212,7
2024-02-24,Café Premium,Sur,Ecommerce,0,145.0,2212,110,0,2102,7
2024-02-25,Café Premium,Occidente,Tienda,0,145.0,2102,128,0,1974,7
2024-02-26,Café Premium,Occidente,Tienda,0,145.0,1974,105,0,1869,7
2024-02-27,Café Premium,Norte,Distribuidor,0,145.0,1869,91,0,1778,7
2024-02-28,Café Premium,Centro,Tienda,0,145.0,1778,116,0,1662,7
2024-02-29,Café Premium,Norte,Distribuidor,0,145.0,1662,93,0,1569,7
2024-03-01,Café Premium,Centro,Ecommerce,0,145.0,1569,105,0,1464,7
2024-03-02,Café Premium,Centro,Ecommerce,0,145.0,1464,120,0,1344,7
2024-03-03,Café Premium,Occidente,Tienda,0,145.0,1344,120,0,1224,7
2024-03-04,Café Premium,Centro,Distribuidor,0,145.0,1224,74,0,1150,7
2024-03-05,Café Premium,Sur,Tienda,1,134.85,1150,106,2676,3720,7
2024-03-06,Café Premium,Centro,Ecommerce,1,134.85,3720,116,0,3604,7
2024-03-07,Café Premium,Norte,Ecommerce,1,134.85,3604,133,0,3471,7
2024-03-08,Café Premium,Occidente,Distribuidor,0,145.0,3471,97,0,3374,7
2024-03-09,Café Premium,Occidente,Ecommerce,0,145.0,3374,113,0,3261,7
2024-03-10,Café Premium,Norte,Distribuidor,0,145.0,3261,124,0,3137,7
2024-03-11,Café Premium,Norte,Ecommerce,0,145.0,3137,106,0,3031,7
2024-03-12,Café Premium,Occidente,Ecommerce,0,145.0,3031,94,0,2937,7
2024-03-13,Café Premium,Sur,Distribuidor,0,145.0,2937,96,0,2841,7
2024-03-14,Café Premium,Norte,Distribuidor,0,145.0,2841,95,0,2746,7
2024-03-15,Café Premium,Occidente,Ecommerce,0,145.0,2746,93,0,2653,7
2024-03-16,Café Premium,Norte,Tienda,0,145.0,2653,108,0,2545,7
2024-03-17,Café Premium,Centro,Ecommerce,0,145.0,2545,107,0,2438,7
2024-03-18,Café Premium,Norte,Tienda,0,145.0,2438,101,0,2337,7
2024-03-19,Café Premium,Sur,Tienda,0,145.0,2337,107,0,2230,7
2024-03-20,Café Premium,Occidente,Ecommerce,1,134.85,2230,117,0,2113,7
2024-03-21,Café Premium,Occidente,Tienda,1,134.85,2113,117,0,1996,7
2024-03-22,Café Premium,Sur,Tienda,0,145.0,1996,72,0,1924,7
2024-03-23,Café Premium,Occidente,Distribuidor,0,145.0,1924,94,0,1830,7
2024-03-24,Café Premium,Occidente,Tienda,0,145.0,1830,134,0,1696,7
2024-03-25,Café Premium,Occidente,Tienda,0,145.0,1696,86,0,1610,7
2024-03-26,Café Premium,Occidente,Distribuidor,0,145.0,1610,59,0,1551,7
2024-03-27,Café Premium,Centro,Distribuidor,0,145.0,1551,123,0,1428,7
2024-03-28,Café Premium,Sur,Distribuidor,0,145.0,1428,88,0,1340,7
2024-03-29,Café Premium,Sur,Ecommerce,0,145.0,1340,76,0,1264,7
2024-03-30,Café Premium,Centro,Tienda,0,145.0,1264,119,0,1145,7
2024-03-31,Café Premium,Occidente,Ecommerce,0,145.0,1145,127,2726,3744,7
2024-04-01,Café Premium,Norte,Ecommerce,0,145.0,3744,86,0,3658,7
2024-04-02,Café Premium,Sur,Distribuidor,0,145.0,3658,114,0,3544,7
2024-04-03,Café Premium,Occidente,Distribuidor,0,145.0,3544,84,0,3460,7
2024-04-04,Café Premium,Sur,Ecommerce,0,145.0,3460,92,0,3368,7
2024-04-05,Café Premium,Centro,Tienda,1,134.85,3368,115,0,3253,7
2024-04-06,Café Premium,Norte,Tienda,1,134.85,3253,153,0,3100,7
2024-04-07,Café Premium,Centro,Distribuidor,1,134.85,3100,170,0,2930,7
2024-04-08,Café Premium,Norte,Tienda,0,145.0,2930,83,0,2847,7
2024-04-09,Café Premium,Sur,Ecommerce,0,145.0,2847,100,0,2747,7
2024-04-10,Café Premium,Norte,Tienda,0,145.0,2747,102,0,2645,7
2024-04-11,Café Premium,Centro,Distribuidor,0,145.0,2645,108,0,2537,7
2024-04-12,Café Premium,Centro,Tienda,0,145.0,2537,85,0,2452,7
2024-04-13,Café Premium,Norte,Distribuidor,0,145.0,2452,108,0,2344,7
2024-04-14,Café Premium,Occidente,Ecommerce,0,145.0,2344,115,0,2229,7
2024-04-15,Café Premium,Occidente,Ecommerce,0,145.0,2229,92,0,2137,7
2024-04-16,Café Premium,Norte,Distribuidor,0,145.0,2137,82,0,2055,7
2024-04-17,Café Premium,Occidente,Distribuidor,0,145.0,2055,102,0,1953,7
2024-04-18,Café Premium,Sur,Ecommerce,0,145.0,1953,100,0,1853,7
2024-04-19,Café Premium,Sur,Ecommerce,0,145.0,1853,118,0,1735,7
2024-04-20,Café Premium,Occidente,Tienda,1,134.85,1735,146,0,1589,7
2024-04-21,Café Premium,Occidente,Ecommerce,1,134.85,1589,137,0,1452,7
2024-04-22,Café Premium,Centro,Tienda,0,145.0,1452,83,0,1369,7
2024-04-23,Café Premium,Centro,Ecommerce,0,145.0,1369,97,0,1272,7
2024-04-24,Café Premium,Occidente,Tienda,0,145.0,1272,84,0,1188,7
2024-04-25,Café Premium,Centro,Tienda,0,145.0,1188,102,2601,3687,7
2024-04-26,Café Premium,Occidente,Ecommerce,0,145.0,3687,85,0,3602,7
2024-04-27,Café Premium,Norte,Ecommerce,0,145.0,3602,118,0,3484,7
2024-04-28,Café Premium,Centro,Tienda,0,145.0,3484,115,0,3369,7
2024-04-29,Café Premium,Occidente,Ecommerce,0,145.0,3369,82,0,3287,7
2024-04-30,Café Premium,Sur,Ecommerce,0,145.0,3287,75,0,3212,7
2024-05-01,Café Premium,Sur,Distribuidor,0,145.0,3212,107,0,3105,7
2024-05-02,Café Premium,Occidente,Distribuidor,0,145.0,3105,97,0,3008,7
2024-05-03,Café Premium,Occidente,Distribuidor,0,145.0,3008,78,0,2930,7
2024-05-04,Café Premium,Norte,Tienda,0,145.0,2930,102,0,2828,7
2024-05-05,Café Premium,Sur,Ecommerce,1,134.85,2828,171,0,2657,7
2024-05-06,Café Premium,Sur,Ecommerce,1,134.85,2657,107,0,2550,7
2024-05-07,Café Premium,Norte,Distribuidor,1,134.85,2550,137,0,2413,7
2024-05-08,Café Premium,Sur,Distribuidor,0,145.0,2413,94,0,2319,7
2024-05-09,Café Premium,Centro,Tienda,0,145.0,2319,71,0,2248,7
2024-05-10,Café Premium,Sur,Ecommerce,0,145.0,2248,86,0,2162,7
2024-05-11,Café Premium,Sur,Ecommerce,0,145.0,2162,124,0,2038,7
2024-05-12,Café Premium,Norte,Ecommerce,0,145.0,2038,92,0,1946,7
2024-05-13,Café Premium,Occidente,Tienda,0,145.0,1946,84,0,1862,7
2024-05-14,Café Premium,Occidente,Distribuidor,0,145.0,1862,83,0,1779,7
2024-05-15,Café Premium,Centro,Distribuidor,0,145.0,1779,97,0,1682,7
2024-05-16,Café Premium,Norte,Ecommerce,0,145.0,1682,96,0,1586,7
2024-05-17,Café Premium,Centro,Tienda,0,145.0,1586,96,0,1490,7
2024-05-18,Café Premium,Sur,Distribuidor,0,145.0,1490,115,0,1375,7
2024-05-19,Café Premium,Norte,Distribuidor,0,145.0,1375,117,0,1258,7
2024-05-20,Café Premium,Centro,Distribuidor,1,134.85,1258,99,0,1159,7
2024-05-21,Café Premium,Norte,Tienda,1,134.85,1159,117,2772,3814,7
2024-05-22,Café Premium,Occidente,Ecommerce,0,145.0,3814,84,0,3730,7
2024-05-23,Café Premium,Norte,Tienda,0,145.0,3730,92,0,3638,7
2024-05-24,Café Premium,Occidente,Distribuidor,0,145.0,3638,94,0,3544,7
2024-05-25,Café Premium,Centro,Ecommerce,0,145.0,3544,106,0,3438,7
2024-05-26,Café Premium,Occidente,Ecommerce,0,145.0,3438,98,0,3340,7
2024-05-27,Café Premium,Sur,Distribuidor,0,145.0,3340,107,0,3233,7
2024-05-28,Café Premium,Sur,Distribuidor,0,145.0,3233,83,0,3150,7
2024-05-29,Café Premium,Occidente,Tienda,0,145.0,3150,84,0,3066,7
2024-05-30,Café Premium,Centro,Distribuidor,0,145.0,3066,85,0,2981,7
2024-05-31,Café Premium,Norte,Distribuidor,0,145.0,2981,94,0,2887,7
2024-06-01,Café Premium,Centro,Ecommerce,0,145.0,2887,91,0,2796,7
2024-06-02,Café Premium,Sur,Ecommerce,0,145.0,2796,133,0,2663,7
2024-06-03,Café Premium,Centro,Ecommerce,0,145.0,2663,83,0,2580,7
2024-06-04,Café Premium,Norte,Tienda,0,145.0,2580,94,0,2486,7
2024-06-05,Café Premium,Sur,Distribuidor,1,134.85,2486,95,0,2391,7
2024-06-06,Café Premium,Occidente,Ecommerce,1,134.85,2391,112,0,2279,7
2024-06-07,Café Premium,Sur,Ecommerce,1,134.85,2279,132,0,2147,7
2024-06-08,Café Premium,Norte,Tienda,0,145.0,2147,127,0,2020,7
2024-06-09,Café Premium,Norte,Ecommerce,0,145.0,2020,114,0,1906,7
2024-06-10,Café Premium,Norte,Distribuidor,0,145.0,1906,75,0,1831,7
2024-06-11,Café Premium,Occidente,Ecommerce,0,145.0,1831,99,0,1732,7
2024-06-12,Café Premium,Centro,Distribuidor,0,145.0,1732,64,0,1668,7
2024-06-13,Café Premium,Sur,Distribuidor,0,145.0,1668,73,0,1595,7
2024-06-14,Café Premium,Centro,Ecommerce,0,145.0,1595,83,0,1512,7
2024-06-15,Café Premium,Norte,Distribuidor,0,145.0,1512,85,0,1427,7
2024-06-16,Café Premium,Sur,Distribuidor,0,145.0,1427,98,0,1329,7
2024-06-17,Café Premium,Occidente,Ecommerce,0,145.0,1329,93,0,1236,7
2024-06-18,Café Premium,Occidente,Distribuidor,0,145.0,1236,75,0,1161,7
2024-06-19,Café Premium,Norte,Tienda,0,145.0,1161,93,2572,3640,7
2024-06-20,Café Premium,Norte,Ecommerce,1,134.85,3640,134,0,3506,7
2024-06-21,Café Premium,Occidente,Distribuidor,1,134.85,3506,110,0,3396,7
2024-06-22,Café Premium,Sur,Ecommerce,0,145.0,3396,112,0,3284,7
2024-06-23,Café Premium,Occidente,Distribuidor,0,145.0,3284,117,0,3167,7
2024-06-24,Café Premium,Centro,Tienda,0,145.0,3167,76,0,3091,7
2024-06-25,Café Premium,Centro,Tienda,0,145.0,3091,91,0,3000,7
2024-06-26,Café Premium,Centro,Distribuidor,0,145.0,3000,76,0,2924,7
2024-06-27,Café Premium,Sur,Ecommerce,0,145.0,2924,85,0,2839,7
2024-06-28,Café Premium,Sur,Distribuidor,0,145.0,2839,92,0,2747,7
2024-06-29,Café Premium,Centro,Tienda,0,145.0,2747,91,0,2656,7
2024-06-30,Café Premium,Occidente,Tienda,0,145.0,2656,72,0,2584,7
2024-07-01,Café Premium,Centro,Ecommerce,0,145.0,2584,69,0,2515,7
2024-07-02,Café Premium,Norte,Tienda,0,145.0,2515,93,0,2422,7
2024-07-03,Café Premium,Occidente,Ecommerce,0,145.0,2422,67,0,2355,7
2024-07-04,Café Premium,Sur,Distribuidor,0,145.0,2355,92,0,2263,7
2024-07-05,Café Premium,Sur,Tienda,1,134.85,2263,90,0,2173,7
2024-07-06,Café Premium,Norte,Ecommerce,1,134.85,2173,123,0,2050,7
2024-07-07,Café Premium,Centro,Tienda,1,134.85,2050,125,0,1925,7
2024-07-08,Café Premium,Norte,Tienda,0,145.0,1925,66,0,1859,7
2024-07-09,Café Premium,Centro,Ecommerce,0,145.0,1859,75,0,1784,7
2024-07-10,Café Premium,Centro,Ecommerce,0,145.0,1784,59,0,1725,7
2024-07-11,Café Premium,Centro,Distribuidor,0,145.0,1725,73,0,1652,7
2024-07-12,Café Premium,Norte,Tienda,0,145.0,1652,76,0,1576,7
2024-07-13,Café Premium,Sur,Ecommerce,0,145.0,1576,69,0,1507,7
2024-07-14,Café Premium,Centro,Tienda,0,145.0,1507,85,0,1422,7
2024-07-15,Café Premium,Norte,Distribuidor,0,145.0,1422,80,0,1342,7
2024-07-16,Café Premium,Centro,Ecommerce,0,145.0,1342,63,0,1279,7
2024-07-17,Café Premium,Norte,Tienda,0,145.0,1279,81,0,1198,7
2024-07-18,Café Premium,Norte,Tienda,0,145.0,1198,82,2595,3711,7
2024-07-19,Café Premium,Sur,Distribuidor,0,145.0,3711,77,0,3634,7
2024-07-20,Café Premium,Norte,Tienda,1,134.85,3634,130,0,3504,7
2024-07-21,Café Premium,Norte,Ecommerce,1,134.85,3504,93,0,3411,7
2024-07-22,Café Premium,Norte,Tienda,0,145.0,3411,89,0,3322,7
2024-07-23,Café Premium,Occidente,Ecommerce,0,145.0,3322,52,0,3270,7
2024-07-24,Café Premium,Norte,Ecommerce,0,145.0,3270,86,0,3184,7
2024-07-25,Café Premium,Occidente,Distribuidor,0,145.0,3184,80,0,3104,7
2024-07-26,Café Premium,Sur,Tienda,0,145.0,3104,63,0,3041,7
2024-07-27,Café Premium,Centro,Ecommerce,0,145.0,3041,88,0,2953,7
2024-07-28,Café Premium,Centro,Distribuidor,0,145.0,2953,116,0,2837,7
2024-07-29,Café Premium,Sur,Distribuidor,0,145.0,2837,87,0,2750,7
2024-07-30,Café Premium,Sur,Ecommerce,0,145.0,2750,83,0,2667,7
2024-07-31,Café Premium,Sur,Tienda,0,145.0,2667,78,0,2589,7
2024-08-01,Café Premium,Norte,Ecommerce,0,145.0,2589,80,0,2509,7
2024-08-02,Café Premium,Centro,Distribuidor,0,145.0,2509,80,0,2429,7
2024-08-03,Café Premium,Norte,Ecommerce,0,145.0,2429,69,0,2360,7
2024-08-04,Café Premium,Norte,Ecommerce,0,145.0,2360,83,0,2277,7
2024-08-05,Café Premium,Occidente,Tienda,1,134.85,2277,112,0,2165,7
2024-08-06,Café Premium,Occidente,Tienda,1,134.85,2165,108,0,2057,7
2024-08-07,Café Premium,Sur,Tienda,1,134.85,2057,108,0,1949,7
2024-08-08,Café Premium,Norte,Distribuidor,0,145.0,1949,74,0,1875,7
2024-08-09,Café Premium,Occidente,Distribuidor,0,145.0,1875,76,0,1799,7
2024-08-10,Café Premium,Occidente,Tienda,0,145.0,1799,73,0,1726,7
2024-08-11,Café Premium,Norte,Ecommerce,0,145.0,1726,87,0,1639,7
2024-08-12,Café Premium,Sur,Ecommerce,0,145.0,1639,81,0,1558,7
2024-08-13,Café Premium,Norte,Tienda,0,145.0,1558,73,0,1485,7
2024-08-14,Café Premium,Sur,Tienda,0,145.0,1485,68,0,1417,7
2024-08-15,Café Premium,Occidente,Distribuidor,0,145.0,1417,68,0,1349,7
2024-08-16,Café Premium,Norte,Tienda,0,145.0,1349,55,0,1294,7
2024-08-17,Café Premium,Centro,Distribuidor,0,145.0,1294,92,0,1202,7
2024-08-18,Café Premium,Sur,Tienda,0,145.0,1202,85,0,1117,7
2024-08-19,Café Premium,Sur,Distribuidor,0,145.0,1117,82,2678,3713,7
2024-08-20,Café Premium,Occidente,Ecommerce,1,134.85,3713,89,0,3624,7
2024-08-21,Café Premium,Occidente,Ecommerce,1,134.85,3624,75,0,3549,7
2024-08-22,Café Premium,Occidente,Distribuidor,0,145.0,3549,73,0,3476,7
2024-08-23,Café Premium,Centro,Distribuidor,0,145.0,3476,82,0,3394,7
2024-08-24,Café Premium,Norte,Ecommerce,0,145.0,3394,71,0,3323,7
2024-08-25,Café Premium,Sur,Tienda,0,145.0,3323,88,0,3235,7
2024-08-26,Café Premium,Centro,Ecommerce,0,145.0,3235,61,0,3174,7
2024-08-27,Café Premium,Sur,Tienda,0,145.0,3174,62,0,3112,7
2024-08-28,Café Premium,Occidente,Ecommerce,0,145.0,3112,72,0,3040,7
2024-08-29,Café Premium,Centro,Tienda,0,145.0,3040,71,0,2969,7
2024-08-30,Café Premium,Centro,Tienda,0,145.0,2969,54,0,2915,7
2024-08-31,Café Premium,Sur,Distribuidor,0,145.0,2915,102,0,2813,7
2024-09-01,Café Premium,Norte,Tienda,0,145.0,2813,88,0,2725,7
2024-09-02,Café Premium,Sur,Distribuidor,0,145.0,2725,42,0,2683,7
2024-09-03,Café Premium,Occidente,Ecommerce,0,145.0,2683,67,0,2616,7
2024-09-04,Café Premium,Norte,Distribuidor,0,145.0,2616,66,0,2550,7
2024-09-05,Café Premium,Occidente,Distribuidor,1,134.85,2550,54,0,2496,7
2024-09-06,Café Premium,Centro,Tienda,1,134.85,2496,104,0,2392,7
2024-09-07,Café Premium,Occidente,Distribuidor,1,134.85,2392,102,0,2290,7
2024-09-08,Café Premium,Occidente,Tienda,0,145.0,2290,73,0,2217,7
2024-09-09,Café Premium,Centro,Distribuidor,0,145.0,2217,84,0,2133,7
2024-09-10,Café Premium,Norte,Distribuidor,0,145.0,2133,62,0,2071,7
2024-09-11,Café Premium,Sur,Distribuidor,0,145.0,2071,67,0,2004,7
2024-09-12,Café Premium,Occidente,Ecommerce,0,145.0,2004,65,0,1939,7
2024-09-13,Café Premium,Centro,Ecommerce,0,145.0,1939,71,0,1868,7
2024-09-14,Café Premium,Centro,Ecommerce,0,145.0,1868,93,0,1775,7
2024-09-15,Café Premium,Occidente,Distribuidor,0,145.0,1775,94,0,1681,7
2024-09-16,Café Premium,Norte,Tienda,0,145.0,1681,60,0,1621,7
2024-09-17,Café Premium,Centro,Ecommerce,0,145.0,1621,66,0,1555,7
2024-09-18,Café Premium,Centro,Tienda,0,145.0,1555,66,0,1489,7
2024-09-19,Café Premium,Norte,Ecommerce,0,145.0,1489,71,0,1418,7
2024-09-20,Café Premium,Occidente,Tienda,1,134.85,1418,92,0,1326,7
2024-09-21,Café Premium,Centro,Distribuidor,1,134.85,1326,88,0,1238,7
2024-09-22,Café Premium,Centro,Tienda,0,145.0,1238,83,0,1155,7
2024-09-23,Café Premium,Norte,Ecommerce,0,145.0,1155,76,2792,3871,7
2024-09-24,Café Premium,Occidente,Ecommerce,0,145.0,3871,59,0,3812,7
2024-09-25,Café Premium,Centro,Tienda,0,145.0,3812,69,0,3743,7
2024-09-26,Café Premium,Centro,Tienda,0,145.0,3743,74,0,3669,7
2024-09-27,Café Premium,Occidente,Distribuidor,0,145.0,3669,43,0,3626,7
2024-09-28,Café Premium,Norte,Tienda,0,145.0,3626,82,0,3544,7
2024-09-29,Café Premium,Centro,Tienda,0,145.0,3544,81,0,3463,7
2024-09-30,Café Premium,Sur,Tienda,0,145.0,3463,68,0,3395,7
2024-10-01,Café Premium,Sur,Ecommerce,0,145.0,3395,52,0,3343,7
2024-10-02,Café Premium,Sur,Ecommerce,0,145.0,3343,52,0,3291,7
2024-10-03,Café Premium,Norte,Tienda,0,145.0,3291,81,0,3210,7
2024-10-04,Café Premium,Occidente,Distribuidor,0,145.0,3210,36,0,3174,7
2024-10-05,Café Premium,Sur,Ecommerce,1,134.85,3174,95,0,3079,7
2024-10-06,Café Premium,Occidente,Tienda,1,134.85,3079,100,0,2979,7
2024-10-07,Café Premium,Centro,Tienda,1,134.85,2979,80,0,2899,7
2024-10-08,Café Premium,Sur,Ecommerce,0,145.0,2899,58,0,2841,7
2024-10-09,Café Premium,Occidente,Distribuidor,0,145.0,2841,72,0,2769,7
2024-10-10,Café Premium,Centro,Tienda,0,145.0,2769,70,0,2699,7
2024-10-11,Café Premium,Sur,Tienda,0,145.0,2699,64,0,2635,7
2024-10-12,Café Premium,Norte,Ecommerce,0,145.0,2635,75,0,2560,7
2024-10-13,Café Premium,Norte,Distribuidor,0,145.0,2560,80,0,2480,7
2024-10-14,Café Premium,Norte,Tienda,0,145.0,2480,67,0,2413,7
2024-10-15,Café Premium,Sur,Ecommerce,0,145.0,2413,57,0,2356,7
2024-10-16,Café Premium,Centro,Tienda,0,145.0,2356,73,0,2283,7
2024-10-17,Café Premium,Norte,Tienda,0,145.0,2283,78,0,2205,7
2024-10-18,Café Premium,Sur,Ecommerce,0,145.0,2205,84,0,2121,7
2024-10-19,Café Premium,Occidente,Tienda,0,145.0,2121,99,0,2022,7
2024-10-20,Café Premium,Norte,Tienda,1,134.85,2022,103,0,1919,7
2024-10-21,Café Premium,Sur,Tienda,1,134.85,1919,87,0,1832,7
2024-10-22,Café Premium,Sur,Tienda,0,145.0,1832,65,0,1767,7
2024-10-23,Café Premium,Centro,Ecommerce,0,145.0,1767,65,0,1702,7
2024-10-24,Café Premium,Occidente,Ecommerce,0,145.0,1702,64,0,1638,7
2024-10-25,Café Premium,Norte,Tienda,0,145.0,1638,67,0,1571,7
2024-10-26,Café Premium,Sur,Distribuidor,0,145.0,1571,98,0,1473,7
2024-10-27,Café Premium,Sur,Ecommerce,0,145.0,1473,88,0,1385,7
2024-10-28,Café Premium,Occidente,Tienda,0,145.0,1385,53,0,1332,7
2024-10-29,Café Premium,Centro,Ecommerce,0,145.0,1332,79,0,1253,7
2024-10-30,Café Premium,Norte,Tienda,0,145.0,1253,70,0,1183,7
2024-10-31,Café Premium,Norte,Ecommerce,0,145.0,1183,74,2596,3705,7
2024-11-01,Café Premium,Occidente,Tienda,0,145.0,3705,78,0,3627,7
2024-11-02,Café Premium,Sur,Distribuidor,0,145.0,3627,107,0,3520,7
2024-11-03,Café Premium,Sur,Distribuidor,0,145.0,3520,108,0,3412,7
2024-11-04,Café Premium,Sur,Ecommerce,0,145.0,3412,74,0,3338,7
2024-11-05,Café Premium,Occidente,Ecommerce,1,134.85,3338,100,0,3238,7
2024-11-06,Café Premium,Occidente,Distribuidor,1,134.85,3238,106,0,3132,7
2024-11-07,Café Premium,Norte,Distribuidor,1,134.85,3132,126,0,3006,7
2024-11-08,Café Premium,Sur,Tienda,0,145.0,3006,82,0,2924,7
2024-11-09,Café Premium,Sur,Tienda,0,145.0,2924,101,0,2823,7
2024-11-10,Café Premium,Centro,Tienda,0,145.0,2823,105,0,2718,7
2024-11-11,Café Premium,Norte,Distribuidor,0,145.0,2718,86,0,2632,7
2024-11-12,Café Premium,Occidente,Ecommerce,0,145.0,2632,71,0,2561,7
2024-11-13,Café Premium,Norte,Ecommerce,0,145.0,2561,67,0,2494,7
2024-11-14,Café Premium,Occidente,Tienda,0,145.0,2494,66,0,2428,7
2024-11-15,Café Premium,Occidente,Tienda,0,145.0,2428,89,0,2339,7
2024-11-16,Café Premium,Occidente,Distribuidor,0,145.0,2339,110,0,2229,7
2024-11-17,Café Premium,Sur,Ecommerce,0,145.0,2229,102,0,2127,7
2024-11-18,Café Premium,Occidente,Ecommerce,0,145.0,2127,103,0,2024,7
2024-11-19,Café Premium,Sur,Ecommerce,0,145.0,2024,84,0,1940,7
2024-11-20,Café Premium,Occidente,Ecommerce,1,134.85,1940,118,0,1822,7
2024-11-21,Café Premium,Centro,Ecommerce,1,134.85,1822,111,0,1711,7
2024-11-22,Café Premium,Occidente,Ecommerce,0,145.0,1711,77,0,1634,7
2024-11-23,Café Premium,Sur,Tienda,0,145.0,1634,107,0,1527,7
2024-11-24,Café Premium,Occidente,Ecommerce,0,145.0,1527,103,0,1424,7
2024-11-25,Café Premium,Sur,Tienda,1,134.85,1424,96,0,1328,7
2024-11-26,Café Premium,Sur,Tienda,0,145.0,1328,67,0,1261,7
2024-11-27,Café Premium,Sur,Tienda,0,145.0,1261,87,0,1174,7
2024-11-28,Café Premium,Occidente,Distribuidor,1,134.85,1174,119,2584,3639,7
